Sentiment,Review,Movie,ID
negative,"  ""91% critic score"" tells me that the critic scores are rigged and that none of them are familiar with the Star Wars universe.",The Last Jedi,490
negative,"  ""A Wrinkle in Time"" had talent in its overall gorgeous look. Other than that, it lacks any noticeable strengths at all.While I sat in the theatre, Disney showed a PSA to thank the crew on such a great project, but after I rushed out, all I could think of is how much of a waste it was to have talented people working on such garbage. My rating does not reflect the controversies with the book, but just the movie itself. A Wrinkle in Time over foreshadowed the future, and there was no surprise that I was looking for. I can see how some people can connect with the Mrs.'s, but I personally felt relieved when they left the screen. As weird as it may seem, I and many others struggled to connect with the lead characters, despite their similarities to many other people. In all, connections were lacking, the theme of the story was an extremely non-risky move, and the rest of the departments in the film struggled to make such a poor idea good. I hope that we can somehow move such amazing resources in the industry to work on stories that we can all enjoy.",A Wrinkle in Time,3092
negative,"  ""A Wrinkle in Time"" has a handful of scenes of that prompt intrigue and wonder. These are executed extremely well and done with great care.Unfortunately, the overall narrative is muddied by an overly busy plot that lacks any sense of continuity and direction. So, we arrive at the end not fully knowing how we got there. That, and some of the performances here are not good.It was ambitious and well-intended. But good intentions don't always result in actual good.",A Wrinkle in Time,3490
negative,"  ""A WRINKLE in time"" is What you get when you cross ""Fried green tomatoes"" with ""Alice in wonderland"". The cast never had a chance. A sad train wreck results when the story attempts to place a girl-talk narrative inside of a disturbing dream, with the added complication that it all happens in outer space somewhere. It felt like i started watching one movie, bought some popcorn, and came back into the wrong THEATER. Spare yourself the head scratching and scratch this one off the to-do list. A colossal waste of time, and too bad for the hard working actors, nobody could have made this mess of a screenplay work.",A Wrinkle in Time,3629
negative,"  ""A Wrinkle In Time"" was a classic book, beloved by a generation. Oprah and her coven of PC fellow-travelers have forever ruined this classic with their inability to entertain instead of delivering a leftist sermon. A flop. A pile of crap.",A Wrinkle in Time,3299
negative,"  ""del Toro remakes Splash""",The Shape of Water,8926
negative,"  ""I dont know""  says it all",Annihilation,4318
negative,"  ""Jesus was the ultimate social justice warrior""lol get outta here with that garbage.",Gods not Dead,6099
negative,"  ""Let's cast a boy to play Lara Croft""",Tomb Raider,9771
negative,"  ""LOL WUT"" - the ending",Annihilation,4800
