review_body,review_date
,
"today we had dinner at noodles restaurant where we walked in without a prior reservation n da restaurant staff were very accomdative.. Food was really good n was served with really quickly,, we are happy to be back at CG ",25-Jul-19
,
This is a huge and very special hotel that has high standards in its bedrooms with lots of toiletries and a bowl of fresh fruit in your room too.The gym is not huge but there is sufficient equipment that is in good working order. The pool is large and has a towel service and a member of staff is on duty over seeing pool safety. You can order food from the pool bar and it can be served directly to your sun lounger or you can eat it sat at tables in the shade. The staff are very accommodating.The hotel has good moral standards. I saw a young lady walk into the large spacious reception area with 2 of her friends and she was wearing swimwear. She was immediately approached by a staff member and asked to leave the area due to her poor dress state and asked not to traverse the public areas again dressed only in swimwear.Well done Cinnamon Grand.,18-Jun-19
,
The hotel staff were extremely accommodative of the requests and supported our event to their best efforts. Food was of excellent quality and it's was an absolute pleasure to back at CG. A special thank you Capt Chathuranga and Clifford David for an excellent service! #backatCG ,25-Jul-19
,
High tea was exceptional and the food was delicious and coming quicker than expected. The service from Suren and the whole team was brilliant while the ambience created by the pianists was lovely. Would not hesitate to return.,25-Jul-19
,
"A place where you can sit peacefully and enjoy the ambience of a pianist playing , Flora and fauna around you and watch the world go by and work on your laptop at the same time. Suren one of the managers at the lobby does an excellent job serving his guests . ",25-Jul-19
,
"We had our lunch at Lagoon today, service was exellent.food was very testy.Lagoon the best seafood restaurant in Colombo.grait staff,,,,,,,,,,and very friendy.Special thanks to restaurant managers Ranjith and Eranga and friendy staff Sanjeewa,Lolitha,Priyanga and Lakshan.Thank you again and,keep it up good work,,,,,,,,",24-Jul-19
,
"I came around 7.30 am to the hotelSo I think something eat and I went to the restaurant, I ordered one cappuccino and fish bun, it’s really tasty Guy who name called Dilshan gave to me excellent service and he is very friendly Highly recommended place ",24-Jul-19
,
we had the Annual awards ceremony of Arpico Insurance PLC with about 350 pax. Very good service. Nice people to deal with since they understand our requirements well and respond. Great place to visit. Great place to have a function. Great quality of food.Specially the sales manager Andrea and Siri and Chathuranga from banquet operations did a great job.,24-Jul-19
,
Been here couple of times and what i noticed it they are always consistent with the food and service. Mr.Thushara is exceptional with his costumer service skills and always provide us with the best dining experience by taking of the hassle of thinking too hard on what to oder. I highly recommend you request for him and ask him to help you with the menu if you have no idea waht to oder. This time visit was special because we decided to go there for a close friends birthday dinner and having just mention that whily reserving our table Mr.Thushara and his team surprised us with a cake towards the end of our meals. It was really nice of them. Noodles has always been great. Absolutely value for money.   ,24-Jul-19
,
"Yes when I had the taste bud for some good authentic Sri Lankan food , had the opportunity to try out the dinner at Nuga gama . What more being a typical Sri Lankan can look for ? The variety from hoppers , stringhoppers to other local dishes such as pittu and pol rotti it was a very deliscious array of good food . And the service of the staff was overwhelming and yes the ambience of the restaurant is a win win Any one who would like to try the very own Sri Lankan culture and local cuisine - Nugagama at cinnoman is a must try",24-Jul-19
,
An absolutely amazing authentic experience eating dinner at Nugagama. Family friendly and very helpful staff add the ease of dining. It's got a tropical feel with the 5 star amenities. The selection of food was very Sri Lankan but also had milder curry dishes and the hoppers were the best of all. I highly recommend this restaurant and the hotel which has exceeded all my expectations.,24-Jul-19
,
"Enjoyed the same ambiance and the food with great team even after a long break Fantastic place to have dinner.Tasty food, nice ambience.. there nothing we want more.. for dinner.. you have it all. Cheers!!!",24-Jul-19
,
Breeze bar is the amazing place to chill out . Food was really good. Amazing service by priyadashana and fahad . They are very friendly and helpful full. And nice atmosphere Highly recommended this place.,24-Jul-19
,
Great staff especially thilina with good food and atmosphere. Had the tiger prawns and they were cooked to perfection. Fast service and will definitely be returning at the weekend for the Sunday toast,24-Jul-19
,
"Best 5 star hotel in srilanka , shisha , breeze is my best place in cinnamon grand . Pryadarshana gives me the best shisha . And he is all ways with smile. Breeze bar fahad he is very friendly and helpful. Highly recommended this place",24-Jul-19
,
Sajith does a wonderful job shining your shoes. Ever obliging with a ready smile. He even lets you drop off your shoes and you could visit one of their restaurants or do some shopping in the meanwhile. You could also grab a cup of coffee and some nibbles at a very reasonable rate at the Coffee Stop within a great ambiance.,23-Jul-19
,
It was a great pleasure to visit your restaurant on our anniversary. It was superb restaurant with great atmosphere..food was out standing.. Rashmika was the one who served us.. I must say he was outstanding and did his best for us.. I recommend anyone to visit here and have the great experience not because it is grand by its name but the service.. big thanks to cinnamon.. hope to visit again soon...,23-Jul-19
,
I had a shisha at the pool deck last night and I was truly taken by the level of service and attention detail they have implemented. It does not feel the same anymore(in a good sense). Special hats off to Priyadarshana for the excellent and dedicated service. ,23-Jul-19
,
"This is the first time at the nuga gama restaurant and we don’t regret it at all! The food was so so Srilankan, my wife loved the ambience of the restaurant. The service was excellent, the staff were very responsive and friendly! We felt so comfortable dining with our 5 month old infant. Zafir and Zahra",23-Jul-19
,
"It was a very romantic evening for us. The table setup was amazing. Excellent service given by Lolita, Priyankara and Mohammed. The food was amazing, specially the lagoon crab. Wish to thank the GM and the management for implementing the new table setup by the lagoon. The staff was friendly, felt like home. Thank you Mr.Eranga for reserving the table for us. Thank you for the help Chathuri. Hope to visit next time we’re back.",23-Jul-19
,
"Excellent Sri Lankan food in Colombo and friendly and very attentive staff.. highly recommended to get a truly Sri Lankan cuisine and hospitality. Must try their crab curry, black pepper pork curry and their authentic Sri Lankan juices...",23-Jul-19
,
Had a lovely dinner at Echo restaurant.. an authentic Italian restaurant in Sri Lanka.. their pizza Bianca was awesome and the staff was very friendly including the chef.. we were served by Mirshad who was really friendly and was very helpful,23-Jul-19
,
"Wow, what an amazing experience. The local village vibe and some of the best curries we have had on our trip and such a wide range of Choices. Such a contrasting atmosphere being inside the Cinnamon Grand. If you mind yourself close to the Restaurant or in Colombo I defiantly suggest you book a take.",23-Jul-19
,
Echo in Colombo was excellent. Not only the food but also the service was superb. Best Italian restaurant in the island. Pradeep and his team was very helpful.The complimentary appetizers and the dark chocolate we got for dessert were definitely a plus!,23-Jul-19
,
Thilina is good service provider in cheers pub. He informed about the happy hour.we enjoyed here at cheers pub. So I will recommend thilina as good and excellent service provider at cheers pub. Thank you very much thilina.. we will come back.. ,23-Jul-19
,
Excellent service. Authentic Sri Lankan and great food. Fantastic atmosphere. Ideal place to entertain business visitors. The village theme was a hit with my guests. We will certainly return for many more.,23-Jul-19
,
"I am always a big fan of Cinnamon Grand as they always maintained the service to top, always. Today is no difference, amazing service with their own unique friendly touch by Priyadarshana and his team.",23-Jul-19
,
Excellent srilankan experience service was great staff is friendly and we enjoyed the music. this is the ideal place to taste srilankan food in srilankan way tasty and the location is beautiful.thank you very much we had a great time ,23-Jul-19
,
"So good to be back at noodles,the food was great and with spelndid hospitality from the staff especially Nirosh who served us. The roast pork dish is a must try. Will definitely come back again.#backatcg",23-Jul-19
,
It is awesome to be back at legedary NugaGama at Cinnamon Grand. Following the blast Nugamaga has already found its renown glory. Authentic Sri Lankan food at its best. Highly recommend for a great Sri Lankan dinner out.,23-Jul-19
,
"One of the comfiest cafes you’ll find yourself in, the food and drink tastes amazing, all the while maintaining reasonable prices.... On today’s particular visit I tried their kiwi Italian soda and passion Italian soda both of which were amazing (the kiwi is my personal preference), service was really good as well (I was served by a kind gent called Vijay). Their cheesecakes are hard to beat as well along with their pastries Overall really good cafe ",23-Jul-19
,
"We can easily say choosing Oak Room, Cinnamon Grand as our wedding reception venue was the best decision we’ve made during our planning. The staff was beyond helpful, all the guests felt looked after and cared for, and most importantly they were punctual in providing the hall, rooms, and amenities. The food was exceptionally delicious. The banquets office was ever so helpful during our planning in providing the utmost support and going out of their way to address our every concern. We would recommend Cinnamon Grand to anybody looking for a venue for their special day. Thanks again to the amazing team at Cinnamon Grand!-Keshika and Najith",22-Jul-19
,
Anuradha and Captain Hilmi's service is very good.... Customer interaction is very good....Food is very delicious and the spread is also very attractive.Very clean and the staff attend to the customers with a friendly face,22-Jul-19
,
"The great ambience, good coffee and the amazingly friendly staff at cinnamon grand coffee stop makes it one of the unique coffee shops in colombo. Specially I love to visit during the times when the piano man is playing at the lobby, it's really refreshing and helps to get off the stress of work. I frequently visit coffee stop to get a change of scenery to get my work done. It has been nothing but a great experience for me every time I visit. I can't remember the names of all the nice people in the staff, but curator Vijay is one of the really friendly guys who would come and talk to the customers to see how everything is going. This is another thing that makes this place unique. It's not just another coffee shop with a friendly staff, they treat you like you stepped into their home to have a cup of coffee.",22-Jul-19
,
"I visit Cinnamon Grand regularly, probably about 3-4 times a week. Every time I come to the coffee shop and vijay is there here's very friendly and makes you feel welcome. He speaks well in English and gives you some good suggestions if you're not sure what to get.Thanks Vijay and look forward to seeing you again!",22-Jul-19
,
Come and enjoy new experience It was wonderful outing for my wife and I when visited Lagoon restaurant at cinnamon for dinner where the restaurant had to offer their new dining concept for two on top of the pond with glass deck surrounded by nature having the utmost peaceful surrounding where you can really enjoy an evening in heart of Colombo.As usual the restaurant manager Mr. Ranjith and the team really gives you the best of their effort to make your visit so comfortable and a enjoyable dining experience everytime you visit. I would say being a food lover you cannot match the cinnamon grand Lagoon seafood with any other place in Colombo as well other than the great ambience.,22-Jul-19
,
Nice calming place to be relaxed and hangout. Nice pool view and lighting.food was delicious.We had a good time there. excellent service was rendered with a personal touch. Keep up the good work priyadharshanaThanks,22-Jul-19
,
The service was exelant food is superb staff was great.atmostphere and ambiance realy fantastic. we came our family with freinds they enjoy and good expireance .music and dancing group they make happy us .we come back again thank you.,22-Jul-19
,
Food was really great: full of flavour and colour. We had the mojitos and they were amazing!!!!! The calamari and prawns were really good and perfect sauce to go with it!!! The new Lamb chops with the crumbs was full of flavour and cooked to perfection. All the staff were very attentive and very helpful. Especially Curator Pradeep was very helpful and assistive! Great atmosphere and experience!,22-Jul-19
,
Noodles restaurant is never a disappointment!! Always the go-to place for any celebration or to satisfy random cravings. Probably the only place you’d never get tired of going as they have been maintaining the quality of service throughout! Super friendly staff and awesome food! We will always keep coming back ,22-Jul-19
,
"We visited Echo for dinner to celebrate my husbands birthday! The ambiance was great and we were shown to our seats as we entered. We were promptly attended by the very friendly staff at Echo. We were served by Pradeep, who was very friendly and attentive. The food was great and we really enjoyed our time here. The food and the experience was well value for our money. Will surely return for more!",22-Jul-19
,
Had a very relaxing evening at Breeze Bar. Priyadharshana and Chandika were very courteous and helpful. Cocktails were very good and food was excellent. Thank you hoping to visit again. Good and excellent location,22-Jul-19
,
Very good food!! The staff is very friendly!!! I am really enjoying my stay here! The rrom is super clean. I feel very safe here. The pub has great variety of liquor :) in general i would recommend to stay at this hotel!,22-Jul-19
,
"This is my fourth visit to this gem of a restaurant, which serves authentic and very tasty Sri Lanka dishes. All the food is freshly prepared by local village ladies to traditional recipes and with a very wide range of dishes. If you like rice and curry ( or string hoppers, pittu or kothu roti), then this is the place for you. As a bonus every Monday evening there is a cultural show. I high recommend this restaurant and it’s wonderful team (Mangala, Wasalage, Krishmal and Dannathjaya).",22-Jul-19
,
Calming place to have coffee and tea.food is really yummy. Nice music and nice people. Pleasing atmosphere. Nice place to hangout.highly recommend. Definitely visit again. curator Stanislaus and Anushka,22-Jul-19
,
"It was an amazing experience and a new adventure for us, to be seated in the middle of the Lagoon At Cinnamon Grand hotel. We had a romantic evening and the food was delicious. Quality of the food was high. We thank the new GM Mr. Gale and the management for implementing innovative features to the hotel. Best of all is the friendly service by Channa and thank you Mr.Ranjith the manager of The Lagoon Restaurant. Wish all the best to the whole team and keep up the good work.",22-Jul-19
,
"Spent the day at The Cinnamon Grand with our 2 kids. Had lunch and used the pool all afternoon. The hotel is stunning inside and out and the staff can not do more for you. Priyadarshini was particularly helpful. A fabulous kids menu poolside with plenty of choice, great wines, milkshakes and everything you need for a heavenly day in the sun. We shall we back.",22-Jul-19
,
"The food was exceptionally good. Our waiters were attentive, friendly, and ensured we got our food, drinks and dessert on time. It was an overall good and pleasant experience. We will definitely be back. Ty thanks nirosh vishaka",22-Jul-19
,
"I visited noodles restaurant yesterday for a lunch,with my family ,it was very great time for us,noodles all staff very friendly &make service with smile,we were enjoyed very much noodles foods,thank you so much mr gayan,Keshara ,vishaka & all staff,keep it up your good works.",22-Jul-19
,
