review_body,review_date
"We had an ocean view room on the side looking towards Waikiki Beach. Stunning! We really loved the pool reserved for Alii tower guests. We spent most of our time there or on beach. The fireworks were great from there. The main pools were crowded and difficult to find chairs. Fortunately, our kids are older so no longer a concern. Food was expensive but easily available. There were all kinds of places to eat at on the resort. I would go back if staying that tower.","July 24, 2019"
"We used our points for an ocean front room in the Rainbow tower. Best vacation idea in a very long time. We could sit on the lanai and see the sea turtles swimming around while people swam by them unaware. We did the same thing later snorkeling. It’s hard to see them unless they poke their heads up next to you. It was easy to rent umbrellas and chairs, floaties and more. The Hilton is a huge property with its own village. When our luggage took a side trip, we loved the easy access to ABC stores. You can get just about anything there. The ice cream shop on site is wonderful but often has long lines. Timing is everything. We ate at CJ’s for breakfast and dinner. It’s not a hotel restaurant but in the village. Delicious. You could stay on the property and never leave. You could but you should not:) It’s within walking distance of all the shops and restaurants. We even walked to the Ala Moana mall, but there is a bus stop right there at the hotel that will get you there quick. There is a car rental place across the street. As for the room, it was nice. We had two double beds so ordered a roll alway too so everyone wouldn’t be too crowded. Registration can be a wait so I’d recommend digital registration. ","May 31, 2019"
"Very disappointed... Most of the staff was rude and seemed annoyed if you asked a question. I actually got an eye roll and sigh when I asked an employee who happened to be changing a garbage pail where I could get towels for the beach. Upon check in, I waited on the Hilton honors line. It was around 1:00 in the afternoon. A line of people were waiting but there was not an employee to be found???? 6 computers with nobody at them??? With the amount of people checking in you would think every station would be manned.. after waiting ten plus minutes finally only ONE employee arrived at the desk! The next day I went to to the check in desk to ask a question about my bill. The person at the desks first response was “you should have asked that yesterday when you checked in”.. I explained it was a crazy check in process and did not have time. She seemed annoyed.. finally, the grounds seemed dirty and run down and not taken care off. The Hilton Hawaiian village sign by the water fall looked filthy... how about having an employee wipe it down everyday so it looks presentable... will not be back..","July 24, 2019"
"We spent 2 nights at the Hawaiin Village before going on a cruise. We arrived at 5 PM on July 4th and our friends were in the regular check-in area and we were in the Alli Tower check in and both were not crowded, quick and friendly. Staff was welcoming and upgraded our room to a beautiful ocean view suite! What a great way to begin a vacation. We ate at Tropics with its beautiful beach view and then watched the fireworks. We were doing a lot of sightseeing, so we did not use the resort activities much during our 2 day stay. It was convenient to have nearby shops, walk the beautiful beach and enjoy a comfortable bed to get over jet-lag. We were very pleased with the room and the service. Alli is definitely smaller and less hectic. The Alli pool was amazing. Mahalo for a great stay in Wiakiki","July 23, 2019"
 The staff was nice and the hotel was beautiful but my experience was tarnished by the multiple power outages that occurred at the property. It was an absolute nightmare walking up and down twenty flights of stairs in the humid heat with my two small children. For the three thousand dollars I paid to stay at this well renowned resort that was not acceptable and when I checked out and spoke with management they didn’t seem too concerned with my frustration. My family and I had several rooms there celebrating our anniversary and my mother’s 50th birthday and we are all very displeased with what occurred and the emotionless response we received.,"July 23, 2019"
When we arrived there was a glitch with our originally booked room not being ready on the first day. Staff worked to make up for the mistake and we were able to check into our originally booked room the next day. Our room was a corner ocean front room with two balconies and the views were spectacular. The Friday night fireworks show was fun to watch off of our balcony. We felt staff members were very attentive. We would recommend this property and would stay here again.,"July 23, 2019"
"We love the Rainbow Tower and we are always upgraded. Christmas time is magical at the resort. Excellent customer service, clean rooms, top notch restaurants. The pools are clean and decks are well-maintained.Always a dream!","July 23, 2019"
"I have spent five days in this hotel/resort during an international conference in June. After a fast check-in It wasassigned to me a big room in the Tapa Tower. Clean an tidy as expected. During the second or third day, water started to come from the ceiling of the bathroom. After a quick call to maintenance and customer support, the assigned room was changed to another one in the Kalia Tower. No problem there.Excluding the water leakage problem (not expected in an Hilton level hotel), it was a beautiful stay (even if for work). The waterfront and pools are amazing and there are a lot of restaurant where have a dinner or a lunch. Surely the resort is huge and is crowded, but It is the cost to pay to stay this Hilton historical landmark.","July 22, 2019"
"and once again we had a great time. Very nice, with incredible view of Diamond Head. As a Gold Hhonors member who registered online, my checkin was easy and efficient, and took only a few minutes. I did note however that others were waiting in very long lines. This is a big, bustling and busy hotel, but we enjoy the location, the beach, all of the shopping and activities on site, and the access to all of the great dining that Waikiki and Honolulu offer. True, this is not cheap, and it is painful that on top of parking and resort fees, that they still charge a hefty premium for a chair and umbrella. We found buying a cheap chair at the ABC store paid for itself in a day. Since our last visit there was only one thing that made me unhappy and that is the breakfast benefit for Gold HHonors members. Historically, you would receive the continental breakfast and paid an up charge for the full buffet. Now, the hotel offers $10 per person a day, max of $20 day credit. $10 does not even pay for a fraction of the continental buffet, and I would challenge the management to find any venue on the property where 10 bucks would get anything close to breakfast. This is a serious downgrade of the Hilton Hhonors benefit.That aside, I have no reservations in recommending this hotel. Enjoy all that it has to offer.","July 22, 2019"
"Arrived at the resort on a Monday at about 2:00 pm. Stood in line to check in for over an hour. We stayed in the Rainbow Tower on the very top, 31st floor. Very nice room, but shows signs of needing some updating 9wall paper peeling, carpet old, balcony door didn't lock properly. Day two was aweful. The city had a power outage that affect the entire resort at about 11:00 am. The power was restored to the resort about 1:00 pm but not the Rainbow Tower! We had no access to our room for over 8 hours. They had a service elevator working and the line to use that was over 100 guest at any given time.Yet the resort continued to check folks in. Bottom line, the power came back on in the Tower at about 8:45 pm. Hilton only gave us a mere $75 credit after we asked for concideration. You would think the beach would be free. No, $18 for a beach chair rental per day, per guest and $36 umbrella rental per day. That is outrageous.All that money we spent and HIlton charges for chairs and umbrellas? I expected more from a classly organization than this. They did give us free beach towels (the same towels we used in the rooms, not really a beach towel). The resort was also EXTREMELY crowded. Just too many people to really enjoy yourself. They do everything they can do to keep you on the 22 acres of the resort. For all the resort fees that we paid, still don't know what I got for that, when they charged us for everything!","July 22, 2019"
